water_pay,respondent,research_asst_name,water_used_season,_bamboo_dataset_id,_deleted_at,water_point_condition,_xform_id_string,other_point_1km,_attachments,communities_villages,end,animal_number,water_point_id,start,water_connected,water_manager_name,_status,enum_id_1,water_lift_mechanism,districts_divisions,_uuid,grid,date,formhub/uuid,road_available,water_functioning,_submission_time,signal,water_source_type,_geolocation,water_point_image,water_point_geocode,deviceid,locations_wards,water_manager,water_developer,_id,animal_point,water_mechanism_plate,water_lift_mechanism_type,road_type,water_mechanism_plate_units,water_mechanism_plate_no,water_not_functioning,water_source_type_other,simserial,subscriberid
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,no,['north_ghana/attachments/1351696546452.jpg'],Gumaryili,2012-11-12T11:46:32.454Z,more_500,xxx,2012-10-31T15:11:04.618Z,no,community members,submitted_via_web,5,no,northern,f8bcee72d7a0400fb99ae11bbf804010,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:13:57,low,dam_dugout,"['10.1892764', '-0.66410362']",1351696546452.jpg,10.1892764 -0.66410362 155.10000610351563 5.0,355047040123780,west_mamprusi,community,community,381705,yes,,,,,,,,,
no,community,Haruna Mohmmed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351701849971.jpg'],Selinvoya,2012-11-12T11:49:36.619Z,50_to_500,xxx,2012-10-31T16:41:49.738Z,no,Amadu Salifu,submitted_via_web,5,yes,northern,c2f6b298955f47ab9f177bee1214141d,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:04,high,unprotected_well,"['10.28173052', '-0.56901122']",1351701849971.jpg,10.28173052 -0.56901122 201.89999389648438 5.0,355047040123780,west_mamprusi,individual,community,381706,yes,no,manual_power,gravel,,,,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351702462336.jpg'],Selinvoya,2012-10-31T16:57:37.864Z,50_to_500,xxx,2012-10-31T16:52:02.601Z,no,Sulemana Abdulai,submitted_via_web,5,yes,northern,6bc6d188611d47f6a666cfd1eaa33998,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:07,high,borehole,"['10.28169238', '-0.56962993']",1351702462336.jpg,10.28169238 -0.56962993 202.60000610351563 5.0,355047040123780,west_mamprusi,community,individual,381707,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351702971561.jpg'],Selinvoya,2012-10-31T17:06:55.047Z,50_to_500,xxx,2012-10-31T16:58:46.672Z,no,Haruna Mohammed,submitted_via_web,5,yes,northern,4b28ac4cbba744d79ba4257f772f94d6,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:14,high,borehole,"['10.28115661', '-0.56918339']",1351702971561.jpg,10.28115661 -0.56918339 199.6999969482422 5.0,355047040123780,west_mamprusi,individual,community,381708,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351703622326.jpg'],Selinvoya,2012-10-31T17:15:57.847Z,50_to_500,xxx,2012-10-31T17:08:27.160Z,no,Sulemana ,submitted_via_web,5,yes,northern,7893ce5321804f229e533f36e90c9c6f,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:22,high,borehole,"['10.28044635', '-0.56723556']",1351703622326.jpg,10.28044635 -0.56723556 208.6999969482422 5.0,355047040123780,west_mamprusi,community,community,381709,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,newly_constructed,_08_Water_points_CV,yes,['north_ghana/attachments/1351703987005.jpg'],Selinvoya,2012-10-31T17:25:17.892Z,50_to_500,xxx,2012-10-31T17:16:42.893Z,no,Wudana,submitted_via_web,5,yes,northern,107bb22055ea4ab3bf85726802b8d924,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:31,high,borehole,"['10.27982056', '-0.56626599']",1351703987005.jpg,10.27982056 -0.56626599 188.89999389648438 5.0,355047040123780,west_mamprusi,community,local_autority,381710,yes,yes,hand_pump,paved,horsepoower,2770233.0,,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351704536356.jpg'],Selinvoya,2012-10-31T17:32:13.985Z,50_to_500,xxx,2012-10-31T17:25:46.104Z,no,Issahaku Mahama,submitted_via_web,5,yes,northern,7763f1b0016c481db29cfb712cd92bca,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:39,high,protected_well,"['10.27942235', '-0.56682568']",1351704536356.jpg,10.27942235 -0.56682568 193.10000610351563 5.0,355047040123780,west_mamprusi,individual,community,381711,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,newly_constructed,_08_Water_points_CV,yes,['north_ghana/attachments/1351705072009.jpg'],Selinvoya,2012-11-05T09:53:21.661Z,50_to_500,xxx,2012-10-31T17:34:06.293Z,no,Mahama Yidana,submitted_via_web,5,yes,northern,42756a674ad64da391fec6f297a1313c,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:45,high,borehole,"['10.28070429', '-0.56504012']",1351705072009.jpg,10.28070429 -0.56504012 200.10000610351563 5.0,355047040123780,west_mamprusi,community,international,381712,yes,no,manual_power,paved,,,,,,
na_dn,community,Haruna Mohammed,year_round,,,under_construction,_08_Water_points_CV,yes,['north_ghana/attachments/1351705860317.jpg'],Selinvoya,2012-10-31T17:55:39.128Z,50_to_500,xxx,2012-10-31T17:47:06.558Z,yes,Chief ,submitted_via_web,5,yes,northern,994017efc6474709ac068974676fb7e4,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,no,2012-11-13 07:14:51,high,protected_spring,"['10.28059063', '-0.56378338']",1351705860317.jpg,10.28059063 -0.56378338 203.1999969482422 5.0,355047040123780,west_mamprusi,international,international,381713,yes,no,pump_solar,paved,,,under_construction,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351706554279.jpg'],Selinvoya,2012-10-31T18:07:27.939Z,50_to_500,xxx,2012-10-31T17:56:49.653Z,no,Mahamudu Achampong,submitted_via_web,5,yes,northern,16a9e43e5db94637991a41328fa5ecc6,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:53,high,protected_well,"['10.27971937', '-0.56286784']",1351706554279.jpg,10.27971937 -0.56286784 199.3000030517578 5.0,355047040123780,west_mamprusi,community,international,381714,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,newly_constructed,_08_Water_points_CV,no,['north_ghana/attachments/1351707001075.jpg'],Selinvoya,2012-10-31T18:13:45.099Z,50_to_500,xxx,2012-10-31T18:07:46.865Z,no,Minatu,submitted_via_web,5,yes,northern,71f9d4f006f4471d9c9e12ad3e951de2,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:55,high,borehole,"['10.2793958', '-0.5625839']",1351707001075.jpg,10.2793958 -0.5625839 191.5 5.0,355047040123780,west_mamprusi,community,international,381715,yes,no,hand_pump,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351707621168.jpg'],Selinvoya,2012-10-31T18:24:47.258Z,50_to_500,xxx,2012-10-31T18:18:39.101Z,no,Adam,submitted_via_web,5,yes,northern,5a2a3144fa5449fe971ce90f7697d48c,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:14:58,high,borehole,"['10.28133509', '-0.56537963']",1351707621168.jpg,10.28133509 -0.56537963 191.8000030517578 5.0,355047040123780,west_mamprusi,community,community,381716,yes,no,manual_power,paved,,,,,,
no,community,hm,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351709450366.jpg'],Selinvoya,2012-10-31T18:54:21.193Z,50_to_500,xxx,2012-10-31T18:50:07.261Z,no,Naa,submitted_via_web,5,yes,northern,1a5fb1d28e954ce68913cc30c966eba3,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:15:03,high,unprotected_well,"['10.28099019', '-0.56363986']",1351709450366.jpg,10.28099019 -0.56363986 185.1999969482422 5.0,355047040123780,west_mamprusi,community,community,381718,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,newly_constructed,_08_Water_points_CV,yes,['north_ghana/attachments/1351709716135.jpg'],Selinvoya,2012-10-31T20:59:43.809Z,50_to_500,xxx,2012-10-31T18:54:30.355Z,no,Baba,submitted_via_web,5,yes,northern,16e704914f984c67b67fd690ffe41077,grid_further_500_m,2012-10-31 00:00:00,4d41d54d134c4bfa9078571addd819b9,yes,yes,2012-11-13 07:15:06,high,borehole,"['10.28138874', '-0.56673342']",1351709716135.jpg,10.28138874 -0.56673342 204.60000610351563 5.0,355047040123780,west_mamprusi,community,international,381719,yes,no,manual_power,paved,,,,,,
no,community,Haruna Mohammed,year_round,,,newly_constructed,_08_Water_points_CV,yes,['north_ghana/attachments/1351756831668.jpg'],Nabulugu,2012-11-01T08:05:42.726Z,,xxx,2012-11-01T07:58:09.979Z,no,Gomna,submitted_via_web,5,yes,northern,44561f65658d4a318684dadee0c5716e,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:15:31,high,borehole,"['10.32138904', '-0.66356394']",1351756831668.jpg,10.32138904 -0.66356394 191.5 5.0,355047040123780,west_mamprusi,community,international,381721,no,no,hand_pump,,,,,,,
no,community,H.M,na_dn,,,abandoned,_08_Water_points_CV,yes,['north_ghana/attachments/1351757203350.jpg'],Nabulugu,2012-11-01T08:10:10.476Z,,xxx,2012-11-01T08:05:48.368Z,no,Sanche,submitted_via_web,5,yes,northern,96b5f0ea82dc4a1f94830f3a85ad044e,na_dn,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,no,2012-11-13 07:15:48,high,borehole,"['10.32151082', '-0.66411252']",1351757203350.jpg,10.32151082 -0.66411252 178.8000030517578 5.0,355047040123780,west_mamprusi,community,international,381722,no,no,hand_pump,,,,kiosk_broken,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351757707960.jpg'],Nabulugu,2012-11-01T08:15:53.131Z,,xxx,2012-11-01T08:10:22.125Z,no,Nba Sanche,submitted_via_web,5,yes,northern,0fb1d6f9a671439a96ab8cbfc6b569b1,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:15:57,high,borehole,"['10.3204651', '-0.66336824']",1351757707960.jpg,10.3204651 -0.66336824 197.39999389648438 5.0,355047040123780,west_mamprusi,individual,individual,381723,no,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351758108560.jpg'],Nabulugu,2012-11-01T08:22:25.903Z,,xxx,2012-11-01T08:16:01.375Z,no,Inusah Nantomah,submitted_via_web,5,yes,northern,21b319e71dbb48f79d83702a98bfe0f6,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:04,high,borehole,"['10.32061519', '-0.6628159']",1351758108560.jpg,10.32061519 -0.6628159 183.39999389648438 5.0,355047040123780,west_mamprusi,individual,individual,381724,no,no,manual_power,,,,,,,
no,community,H.M,year_round,,,functioning,_08_Water_points_CV,yes,['north_ghana/attachments/1351758417726.jpg'],Nabulugu,2012-11-01T08:27:27.548Z,,xxx,2012-11-01T08:23:06.791Z,no,Yaanaa,submitted_via_web,5,yes,northern,7eb0d0caa0c546ccb5f2c04280d095bd,grid_within_500_m,2012-11-01 00:00:00,4d41d54d134c4bfa9078571addd819b9,no,yes,2012-11-13 07:16:11,high,borehole,"['10.31997119', '-0.66233244']",1351758417726.jpg,10.31997119 -0.66233244 180.6999969482422 5.0,355047040123780,west_mamprusi,individual,community,381725,no,no,manual_power,,,,,,,
